,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count
188,189,185,"박막례, 이대로 죽을 순 없다 :독보적 유튜버 박막례와 천재 PD 손녀 김유라의 말도 안 되게 뒤집힌 신나는 인생! ","박막례,김유라 지음",위즈덤하우스 미디어그룹,2019,9791190065672,03810,,326.7904,사회과학 > 경제학 > 공익사업,80
189,190,190,버드 스트라이크 :구병모 장편소설 ,지은이: 구병모,창비,2019,9788936434359,03810,,813.7,문학 > 한국문학 > 소설,79
190,191,190,요리코를 위해 :노리즈키 린타로 장편소설 ,지은이: 노리즈키 린타로 ;옮긴이: 이기웅,문학동네,2012,9788954618625,03830,,833.6,문학 > 일본문학 > 소설,79
191,192,190,아침에는 죽음을 생각하는 것이 좋다 ,지은이: 김영민,어크로스,2018,9791160560640,03100,,818.0,문학 > 한국문학 > 르포르타주 및 기타,79
192,193,190,우리는 이 별을 떠나기로 했어 ,"지은이: 천선란,이루카",허블,2021,9791190090377,03810,,813.7,문학 > 한국문학 > 소설,79
193,194,190,"안녕, 소중한 사람 :정한경 에세이 ",지은이: 정한경,북로망스,2020,9791197037122,03810,,818.0,문학 > 한국문학 > 르포르타주 및 기타,79
194,195,195,심판 ,베르나르 베르베르 지음 ;전미연 옮김,열린책들,2020,9788932920405,03860,,862.0,문학 > 프랑스문학 > 희곡,78
195,196,195,오베라는 남자 :프레드릭 배크만 장편소설 ,지은이: 프레드릭 배크만 ;옮긴이: 최민우,다산북스,2015,9791130605210,03850,,859.7,문학 > 독일문학 > 기타 게르만 문학,78
196,197,195,외국어 학습·교수의 원리 ,지은이: H. Douglas Brown ;이성희,피어슨 에듀케이션 코리아,2015,9791130629636,13740,,707.0,"언어 > 언어 > 지도법, 연구법 및 교육, 교육재료",78
197,198,195,열두 발자국 ,지은이: 정재승,어크로스,2018,9791160560510,03400,,404.0,"자연과학 > 자연과학 > 강연집, 수필집, 연설문집",78
198,199,199,나의 월급 독립 프로젝트 :3년 만에 30억 벌고 퇴사한 슈퍼개미의 실전 주식투자 생중계 ,유목민 지음,웅진씽크빅,2019,9788901230801,03320,,327.856,사회과학 > 경제학 > 금융,77
199,200,199,미 비포 유 ,조조 모예스 지음 ;김선형 옮김,살림,2013,9788952227829,03840,,843.6,문학 > 영미문학 > 소설,77
